==========================================
Lines of Code Report (Diff-based)
==========================================
Author: Chun Wee
Since: 2026-03-16
Generated: Sun Apr  5 01:26:40 +08 2026
==========================================

==========================================
ACTUAL CODE CHANGES PER FILE (NO BLANKS/COMMENTS)
==========================================
Tracked extensions: .cpp .hpp .h .c

File                                                                        Added    Deleted        Net
TheStove/Core/LevelEditorPanelBuildSizeAnalyzer.hpp                             7          1          6
TheStove/Core/LevelEditorPanelConfig.cpp                                        2          8         -6
TheStove/Core/LevelEditorPanelConfig.hpp                                        1          1          0
TheStove/Core/LevelEditorPanelFonts.cpp                                        12         15         -3
TheStove/Core/LevelEditorPanelFonts.hpp                                         5         16        -11
TheStove/Core/LevelEditorPanelLevel.cpp                                       190        148         42
TheStove/Core/LevelEditorPanelLevel.hpp                                         2          2          0
TheStove/Core/LevelEditorPanelPrefabs.cpp                                       1          1          0
TheStove/Core/LevelEditorPanelPrefabs.hpp                                       2          2          0
TheStove/Core/LevelEditorPickDrag.cpp                                           4          4          0
TheStove/Core/LevelEditorPickDrag.hpp                                           2          2          0
TheStove/Core/LevelEditorPrefabLinks.cpp                                        2          2          0
TheStove/Core/LevelEditorPrefabLinks.hpp                                        7          7          0
TheStove/Core/LevelSerializer.cpp                                               6          5          1
TheStove/Core/LevelSerializer.hpp                                               2          2          0
TheStove/Core/Logger.hpp                                                       69          1         68
TheStove/Core/LogicManager.hpp                                                 72        149        -77
TheStove/Core/Math.cpp                                                          2          2          0
TheStove/Core/Math.hpp                                                          1          1          0
TheStove/Core/Message.hpp                                                      61          3         58
TheStove/Core/MessageBus.hpp                                                   23          5         18
TheStove/Core/MovementManager.cpp                                               4          4          0
TheStove/Core/MovementManager.hpp                                               2          2          0
TheStove/Core/NpcSystem.cpp                                                     1          1          0
TheStove/Core/NpcSystem.hpp                                                     2          2          0
TheStove/Core/Physics.cpp                                                       4          4          0
TheStove/Core/Physics.hpp                                                       2          2          0
TheStove/Core/PhysicsManager.cpp                                                4          4          0
TheStove/Core/PhysicsManager.hpp                                                2          2          0
TheStove/Core/PlayerController.cpp                                              2          2          0
TheStove/Core/PlayerController.hpp                                              2          2          0
TheStove/Core/Precompiled.hpp                                                   2          2          0
TheStove/Core/ReplayManager.cpp                                                13         14         -1
TheStove/Core/ReplayManager.hpp                                                 2          2          0
TheStove/Core/RigidBody2D.cpp                                                   2          2          0
TheStove/Core/RigidBody2D.hpp                                                   5          8         -3
TheStove/Core/RuntimeLevel.cpp                                                225         23        202
TheStove/Core/RuntimeLevel.hpp                                                  9          1          8
TheStove/Core/RuntimeLevelPipeline.cpp                                         62          0         62
TheStove/Core/RuntimeLevelPipeline.hpp                                         16          0         16
TheStove/Core/RuntimeTextData.hpp                                              19          0         19
TheStove/Core/SpatialGrid.cpp                                                   2          2          0
TheStove/Core/SpatialGrid.hpp                                                   2          2          0
TheStove/Core/System.hpp                                                        2          2          0
TheStove/Core/TestLevel.cpp                                                     1          1          0
TheStove/Core/TestLevel.hpp                                                     2          2          0
TheStove/Core/TestLevel2.cpp                                                    2          2          0
TheStove/Core/TestLevel2.hpp                                                    2          2          0
TheStove/Core/TileMap.cpp                                                       1          1          0
TheStove/Core/TileMap.hpp                                                       1          1          0
TheStove/Core/Transform.cpp                                                     6          9         -3
TheStove/Core/Transform.hpp                                                     4          7         -3
TheStove/EngineCore/Application.cpp                                            58         34         24
TheStove/EngineCore/Application.hpp                                             2          2          0
TheStove/EngineCore/ApplicationFlowCoordinator.cpp                              4          4          0
TheStove/EngineCore/ApplicationFlowCoordinator.hpp                              1          1          0
TheStove/EngineCore/ApplicationShutdown.hpp                                     1          1          0
TheStove/EngineCore/ApplicationState.hpp                                        3          0          3
TheStove/EngineCore/AudioLoading.cpp                                           37          7         30
TheStove/EngineCore/AudioLoading.hpp                                            6          4          2
TheStove/EngineCore/AudioManager.cpp                                           86         19         67
TheStove/EngineCore/AudioManager.hpp                                            8          6          2
TheStove/EngineCore/Collision.cpp                                               1          1          0
TheStove/EngineCore/Collision.hpp                                               1          1          0
TheStove/EngineCore/CollisionManager.cpp                                        3          4         -1
TheStove/EngineCore/CollisionManager.hpp                                        5          5          0
TheStove/EngineCore/ComponentCreator.hpp                                        3          2          1
TheStove/EngineCore/ConfigManager.cpp                                           2          2          0
TheStove/EngineCore/ConfigManager.hpp                                           2          1          1
TheStove/EngineCore/Core.cpp                                                    6          4          2
TheStove/EngineCore/Core.hpp                                                    5          4          1
TheStove/EngineCore/DebugUI.cpp                                               291        289          2
TheStove/EngineCore/DebugUI.hpp                                                49         44          5
TheStove/EngineCore/DebugVisualizer.cpp                                         4          4          0
TheStove/EngineCore/DebugVisualizer.hpp                                         7          7          0
TheStove/EngineCore/EngineRng.cpp                                               1          1          0
TheStove/EngineCore/Factory.cpp                                                 7          6          1
TheStove/EngineCore/Factory.hpp                                                 4          3          1
TheStove/EngineCore/FileDropHandler.cpp                                        34         14         20
TheStove/EngineCore/FileDropHandler.hpp                                         8          7          1
TheStove/EngineCore/FilePaths.hpp                                              16         10          6
TheStove/EngineCore/FontSystem.cpp                                             72         91        -19
TheStove/EngineCore/FontSystem.hpp                                             83         83          0
TheStove/EngineCore/Forces.cpp                                                  7         12         -5
TheStove/EngineCore/Forces.hpp                                                  2          2          0
TheStove/EngineCore/GOC.cpp                                                     5          4          1
TheStove/EngineCore/GOC.hpp                                                     6          5          1
TheStove/EngineCore/GameComponent.hpp                                          18         17          1
TheStove/EngineCore/GameObjectLogic.cpp                                         4          3          1
TheStove/EngineCore/GameObjectLogic.hpp                                         5          4          1
TheStove/EngineCore/GameStateManager.cpp                                       20         63        -43
TheStove/EngineCore/GameStateManager.hpp                                       10         20        -10
TheStove/EngineCore/GridPathfinder.cpp                                          3          2          1
TheStove/EngineCore/GridPathfinder.hpp                                          2          1          1
TheStove/EngineCore/ISerializer.cpp                                             4          3          1
TheStove/EngineCore/ISerializer.hpp                                             2          1          1
TheStove/EngineCore/InputCommandHandler.cpp                                     4          4          0
TheStove/EngineCore/InputCommandHandler.hpp                                     8          8          0
TheStove/EngineCore/InputControls.cpp                                           3          2          1
TheStove/EngineCore/InputManager.cpp                                            5          2          3
TheStove/EngineCore/InputManager.hpp                                            5          5          0
TheStove/EngineCore/JSONInclude.hpp                                             1          1          0
TheStove/EngineCore/LevelEditor.cpp                                            12         11          1
TheStove/EngineCore/LevelEditor.hpp                                             2          2          0
TheStove/EngineCore/LevelEditorActions.cpp                                      3          3          0
TheStove/EngineCore/LevelEditorAutoSave.cpp                                     2         59        -57
TheStove/EngineCore/LevelEditorAutoSave.hpp                                     0         10        -10
TheStove/EngineCore/LevelEditorCommandSystem.cpp                                2          2          0
TheStove/EngineCore/LevelEditorFileIO.cpp                                      60         14         46
TheStove/EngineCore/LevelEditorHierarchy.cpp                                    2          2          0
TheStove/EngineCore/LevelEditorPanelAssets.cpp                                460        236        224
TheStove/EngineCore/LevelEditorPanelAudioControl.cpp                          182         93         89
TheStove/EngineCore/LevelEditorPanelBuildSizeAnalyzer.cpp                       5          5          0
